Selection_table1,View,Channel,BeginFile_table1,EndFile,BeginTime_s__table1,EndTime_s__table1,BegFileSamp_samples_,EndFileSamp_samples_,BeginDateTime,DeltaTime_s__table1,LowFreq_Hz_,HighFreq_Hz_,Dur90__s_,Freq5__Hz_,Freq95__Hz_,From,channel_table1,t0_table1,tEnd_table1,duration_table1,fLow_table1,fHigh_table1,freq_table1_1,freq_table1_2,soundFolder_table1,siteCode_table1,classification_table1,key,detect_t1,Selection_table2,BeginTime_s__table2,EndTime_s__table2,LowFrequency_Hz_,HighFrequency_Hz_,BeginFile_table2,FileOffset_s_,Score,Tags,BeginPath,channel_table2,t0_table2,DeltaTime_s__table2,tEnd_table2,duration_table2,fLow_table2,fHigh_table2,freq_table2_1,freq_table2_2,soundFolder_table2,siteCode_table2,classification_table2,detect_t2,overlap,t0,dt0,duration,tEnd,freq_1,freq_2,soundFolder,result,snr,rmsSignal,rmsNoise,noiseVar,verdict,freq_1,freq_2,snrLurton
1,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,3825.755235,3830.735259,225898,230878,03:45.8,4.98,49.6,88.9,4.312,50.781,83.984,,1,737419.7526,737419.7527,4.979997128,49.6,88.9,49.6,88.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,1,48,3825.857,3832.353,20,115,20181225_180000.wav,226,1,Bm-D,NaN,1,737419.7526,6.496,737419.7527,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,195.7138871,737419.7526,25/12/2018 18:03,6.49600178,737419.7527,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-11.58786488,1.59E-06,1.78E-06,7.65E-13,1,20,115,-13.28415665
2,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,4030.758652,4034.401975,430902,434545,07:10.8,3.6433,39.9,78.5,2.618,41.016,71.289,,1,737419.755,737419.755,3.643301502,39.9,78.5,39.9,78.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,2,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737419.755,25/12/2018 18:07,3.643301502,737419.755,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-20.56638233,3.05E-06,2.70E-06,2.39E-12,0,20,115,-13.10331449
3,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,4195.534594,4198.416462,595678,598559,09:55.5,2.8819,46.3,90.4,2.464,49.805,83.008,,1,737419.7569,737419.7569,2.881899476,46.3,90.4,46.3,90.4,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,3,1,53,4193.857,4200.353,20,115,20181225_180000.wav,594,0.99,Bm-D,NaN,1,737419.7569,6.496,737419.757,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,127.0917669,737419.7569,25/12/2018 18:09,6.49600178,737419.757,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-16.68282611,2.10E-06,2.10E-06,1.22E-12,1,20,115,-66.16603567
4,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,5444.229748,5446.664429,1844373,1846807,30:44.2,2.4347,37.5,70.7,2.002,40.039,66.406,,1,737419.7713,737419.7714,2.43469812,37.5,70.7,37.5,70.7,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,4,1,72,5441.857,5448.353,20,115,20181225_180000.wav,1842,1,Bm-D,NaN,1,737419.7713,6.496,737419.7714,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,80.83197758,737419.7713,25/12/2018 18:30,6.49600178,737419.7714,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-13.91313775,1.42E-06,1.63E-06,3.75E-13,1,20,115,-9.190443545
5,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,7686.817498,7693.052834,487103,493339,08:07.8,6.2353,33.2,92.9,5.39,34.18,82.031,,1,737421.6723,737421.6724,6.235301122,33.2,92.9,33.2,92.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,5,1,96,7687.714,7694.21,20,115,20181227_160000.wav,488,1,Bm-D,NaN,1,737421.6723,6.496,737421.6724,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,372.247477,737421.6723,27/12/2018 16:08,6.49600178,737421.6724,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-17.26268671,2.15E-06,1.86E-06,3.84E-13,1,20,115,-6.41731078
6,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,8536.471439,8539.402994,1336757,1339689,22:16.5,2.9316,39.2,72,2.464,41.992,67.383,,1,737421.6821,737421.6822,2.931597456,39.2,72,39.2,72,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,6,1,104,8535.714,8542.21,20,115,20181227_160000.wav,1336,1,Bm-D,NaN,1,737421.6821,6.496,737421.6822,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,96.15639657,737421.6821,27/12/2018 16:22,6.49600178,737421.6822,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-5.750168713,2.47E-06,2.85E-06,1.26E-12,1,20,115,-9.482543072
7,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,8998.38999,9002.812166,1798676,1803098,29:58.4,4.4222,21.9,75.1,4.158,23.438,66.406,,1,737421.6875,737421.6875,4.422204942,21.9,75.1,21.9,75.1,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,7,1,111,8997.714,9004.21,20,115,20181227_160000.wav,1798,0.99,Bm-D,NaN,1,737421.6875,6.496,737421.6876,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,235.2613029,737421.6875,27/12/2018 16:29,6.49600178,737421.6876,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-5.612278928,2.57E-06,2.12E-06,4.35E-13,1,20,115,-3.403769392
8,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9273.900127,9276.831682,2074186,2077118,34:34.9,2.9316,36.1,70.5,2.464,38.086,66.406,,1,737421.6907,737421.6907,2.931597456,36.1,70.5,36.1,70.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,8,1,117,9271.714,9278.21,20,115,20181227_160000.wav,2072,1,Bm-D,NaN,1,737421.6906,6.496,737421.6907,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,100.8469525,737421.6907,27/12/2018 16:34,6.49600178,737421.6908,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-10.57729788,2.17E-06,3.81E-06,3.52E-11,1,20,115,-11.14727781
9,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9383.625222,9387.302088,2183911,2187588,36:23.6,3.6769,15.5,70.9,3.388,17.578,63.477,,1,737421.6919,737421.692,3.67689617,15.5,70.9,15.5,70.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,9,1,121,9381.714,9388.21,20,115,20181227_160000.wav,2182,1,Bm-D,NaN,1,737421.6919,6.496,737421.692,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,203.7000478,737421.6919,27/12/2018 16:36,6.49600178,737421.692,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,12.86764543,2.98E-06,1.96E-06,2.57E-13,1,20,115,6.061256119
10,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9550.568703,9553.699007,2350855,2353985,39:10.6,3.1303,30.8,68,2.772,32.227,62.5,,1,737421.6939,737421.6939,3.130298853,30.8,68,30.8,68,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,10,1,122,9547.714,9556.21,20,115,20181227_160000.wav,2348,1,Bm-D,NaN,1,737421.6938,8.496,737421.6939,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,116.4471173,737421.6939,27/12/2018 16:39,8.49600099,737421.694,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-16.53435472,2.62E-06,2.36E-06,1.83E-12,1,20,115,-14.34281846
11,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9975.45652,9977.74214,2775743,2778028,46:15.5,2.2856,37.7,70.7,1.848,39.062,66.406,,1,737421.6988,737421.6988,2.285604179,37.7,70.7,37.7,70.7,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,11,1,127,9973.714,9980.21,20,115,20181227_160000.wav,2774,1,Bm-D,NaN,1,737421.6988,6.496,737421.6988,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,75.4249379,737421.6988,27/12/2018 16:46,6.49600178,737421.6989,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-12.74967899,2.80E-06,3.55E-06,5.04E-12,1,20,115,-9.576710751
12,Spectrogram 1,1,20181231_130000.wav,20181231_130000.wav,16873.23583,16875.52144,2473808,2476093,41:13.2,2.2856,33.7,72.7,2.002,35.156,65.43,Unidentified.calls.selections.txt,1,737425.5703,737425.5703,2.285604179,33.7,72.7,33.7,72.7,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,12,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737425.5703,31/12/2018 13:41,2.285604179,737425.5703,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-7.454647941,3.74E-06,3.01E-06,2.08E-12,0,20,115,-5.948396077
13,Spectrogram 1,1,20181223_200000.wav,20181223_200000.wav,2247.825496,2250.757052,2247825,2250757,37:27.8,2.9316,38.6,74.9,2.31,41.016,69.336,Unidentified calls,1,737417.8593,737417.8594,2.931597456,38.6,74.9,38.6,74.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,13,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737417.8593,23/12/2018 20:37,2.931597456,737417.8594,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-19.50851577,4.13E-06,3.86E-06,3.94E-12,0,20,115,-17.03280087
14,Spectrogram 1,1,20181223_200000.wav,20181223_200000.wav,2525.200881,2527.387125,2525201,2527387,42:05.2,2.1862,41.2,70.5,1.694,43.945,64.453,Unidentified calls,1,737417.8626,737417.8626,2.18619816,41.2,70.5,41.2,70.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,14,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737417.8626,23/12/2018 20:42,2.18619816,737417.8626,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,0.456155756,7.23E-06,4.77E-06,4.39E-12,0,20,115,1.396670953
15,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,5967.131701,5970.53485,2367275,2370678,39:27.1,3.4031,46.1,79.1,2.31,47.852,74.219,,1,737419.7774,737419.7774,3.403099626,46.1,79.1,46.1,79.1,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,15,1,79,5965.857,5972.353,20,115,20181225_180000.wav,2366,0.99,Bm-D,NaN,1,737419.7774,6.496,737419.7775,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,112.3022877,737419.7774,25/12/2018 18:39,6.49600178,737419.7775,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-12.78073958,2.16E-06,2.30E-06,6.35E-13,1,20,115,-15.57775578
16,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,7557.652852,7560.390167,357939,360676,05:57.7,2.7373,34.3,73.9,2.156,37.109,68.359,,1,737421.6708,737421.6708,2.737301588,34.3,73.9,34.3,73.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,16,1,95,7555.714,7562.21,20,115,20181227_160000.wav,356,1,Bm-D,NaN,1,737421.6708,6.496,737421.6709,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,108.3971429,737421.6708,27/12/2018 16:05,6.49600178,737421.6709,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-57.00592984,2.32E-06,2.37E-06,8.36E-13,1,20,115,-25.25712606
17,Spectrogram 1,1,20190104_100000.wav,20190104_100000.wav,20979.45003,20987.21809,2864267,2872035,47:44.4,7.7681,45.5,93,7.084,45.898,87.891,,1,737429.4498,737429.4499,7.768103108,45.5,93,45.5,93,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,17,1,201,20979.183,20985.679,20,115,20190104_100000.wav,2864,1,Bm-D,NaN,1,737429.4498,6.496,737429.4499,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,287.1847227,737429.4498,4/01/2019 10:47,7.768103108,737429.4499,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-11.40544376,1.19E-05,1.13E-05,1.14E-11,1,20,115,-15.69065549
18,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29011.97164,29015.59674,97176,100801,01:38.0,3.6251,28.2,83,2.772,29.297,72.266,,1,737435.2511,737435.2512,3.625096008,28.2,83,28.2,83,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,18,1,206,29010.796,29019.292,20,115,20190110_060000.wav,96,1,Bm-D,NaN,1,737435.2511,8.496,737435.2512,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,198.6552612,737435.2511,10/01/2019 6:01,8.49600099,737435.2512,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,9.729983819,9.59E-06,4.64E-06,1.25E-12,1,20,115,12.91613785
19,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29112.87858,29116.57766,198083,201782,03:18.9,3.6991,53,85.2,3.234,54.688,81.055,,1,737435.2523,737435.2523,3.69910486,53,85.2,53,85.2,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,19,1,209,29112.796,29117.292,20,115,20190110_060000.wav,198,1,Bm-D,NaN,1,737435.2523,4.496,737435.2523,4.49600257,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,116.4997584,737435.2523,10/01/2019 6:03,4.49600257,737435.2524,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-7.878760477,4.57E-06,5.30E-06,5.53E-12,1,20,115,-10.10606879
20,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29337.10065,29341.76149,422305,426965,07:02.1,4.6608,39.1,71.4,3.696,41.016,66.406,,1,737435.2549,737435.2549,4.660797492,39.1,71.4,39.1,71.4,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,20,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2549,10/01/2019 6:07,4.660797492,737435.2549,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-4.564512399,4.62E-06,3.49E-06,7.42E-13,0,20,115,2.356433836
21,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29348.71575,29351.82297,433920,437027,07:13.7,3.1072,54.5,85.2,2.772,55.664,79.102,,1,737435.255,737435.2551,3.107194975,54.5,85.2,54.5,85.2,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,21,1,221,29346.796,29353.292,20,115,20190110_060000.wav,432,1,Bm-D,NaN,1,737435.255,6.496,737435.2551,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,95.39088573,737435.255,10/01/2019 6:07,6.49600178,737435.2551,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-17.31622015,4.78E-06,3.86E-06,2.50E-12,1,20,115,-4.673901627
22,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29364.32585,29370.24437,449530,455448,07:29.3,5.9185,49.3,84.8,4.774,50.781,79.102,,1,737435.2552,737435.2553,5.918495357,49.3,84.8,49.3,84.8,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,22,1,222,29362.796,29369.292,20,115,20190110_060000.wav,448,1,Bm-D,NaN,1,737435.2552,6.496,737435.2553,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,183.5706398,737435.2552,10/01/2019 6:07,6.49600178,737435.2553,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-22.68211674,4.39E-06,4.10E-06,2.20E-12,1,20,115,-14.27489191
23,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29453.84533,29459.02403,539049,544228,08:59.8,5.1787,35.7,74.5,4.62,36.133,67.383,,1,737435.2562,737435.2563,5.178698525,35.7,74.5,35.7,74.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,23,1,224,29446.796,29461.292,20,115,20190110_060000.wav,532,1,Bm-D,NaN,1,737435.2562,14.496,737435.2563,14.49599862,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,200.9335028,737435.2562,10/01/2019 6:08,14.49599862,737435.2564,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-4.347212598,4.21E-06,4.99E-06,2.63E-12,1,20,115,-6.365371526
24,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29445.85533,29450.88607,531059,536090,08:51.9,5.0307,30.7,68.9,4.466,32.227,60.547,,1,737435.2562,737435.2562,5.030700937,30.7,68.9,30.7,68.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,24,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2562,10/01/2019 6:08,5.030700937,737435.2562,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-11.59878228,5.63E-06,5.61E-06,7.63E-12,0,20,115,-42.86719644
25,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29467.30996,29473.52441,552514,558728,09:12.3,6.2144,50,75.5,5.082,51.758,72.266,,1,737435.2564,737435.2565,6.214400008,50,75.5,50,75.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,25,1,225,29468.796,29475.292,20,115,20190110_060000.wav,554,0.99,Bm-D,NaN,1,737435.2564,6.496,737435.2565,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,208.7431194,737435.2564,10/01/2019 6:09,6.49600178,737435.2565,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-18.30119442,3.85E-06,3.98E-06,1.54E-12,1,20,115,-19.44702566
26,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29475.44793,29479.9608,560652,565165,09:20.4,4.5129,45.7,80.2,4.004,46.875,74.219,,1,737435.2565,737435.2565,4.512900487,45.7,80.2,45.7,80.2,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,26,1,226,29474.796,29481.292,20,115,20190110_060000.wav,560,1,Bm-D,NaN,1,737435.2565,6.496,737435.2566,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,155.6950668,737435.2565,10/01/2019 6:09,6.49600178,737435.2566,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-3.577587548,4.58E-06,4.96E-06,3.53E-12,1,20,115,-13.88851737
27,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29509.06775,29514.76433,594272,599968,09:54.1,5.6966,39.1,65.2,4.312,41.016,62.5,,1,737435.2569,737435.2569,5.696599558,39.1,65.2,39.1,65.2,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,27,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2569,10/01/2019 6:09,5.696599558,737435.2569,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,7.275225969,6.57E-06,3.87E-06,1.44E-12,0,20,115,7.034944568
28,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29561.27781,29566.82642,646482,652030,10:46.3,5.5486,45.9,80.9,4.62,46.875,77.148,,1,737435.2575,737435.2575,5.54860197,45.9,80.9,45.9,80.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,28,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2575,10/01/2019 6:10,5.54860197,737435.2575,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-27.30747642,4.00E-06,4.24E-06,7.19E-12,0,20,115,-21.08274152
29,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29802.33098,29808.32348,887535,893527,14:47.3,5.9925,52.3,98,5.39,53.711,92.773,,1,737435.2603,737435.2603,5.992504209,52.3,98,52.3,98,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,29,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2603,10/01/2019 6:14,5.992504209,737435.2603,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-40.82728453,3.52E-06,3.63E-06,1.39E-12,0,20,115,-19.87016659
30,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29856.2635,29859.22276,941467,944427,15:41.3,2.9593,51.1,80.5,2.772,51.758,75.195,,1,737435.2609,737435.2609,2.95929797,51.1,80.5,51.1,80.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,30,1,233,29854.796,29863.292,20,115,20190110_060000.wav,940,0.99,Bm-D,NaN,1,737435.2609,8.496,737435.261,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,87.00336032,737435.2609,10/01/2019 6:15,8.49600099,737435.261,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-1.267806488,4.41E-06,5.19E-06,1.36E-12,1,20,115,-3.506740007
31,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29853.47562,29856.73081,938680,941935,15:38.5,3.2552,51.4,76.6,2.772,51.758,72.266,,1,737435.2609,737435.2609,3.255202621,51.4,76.6,51.4,76.6,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,31,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2609,10/01/2019 6:15,3.255202621,737435.2609,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-9.703045575,5.94E-06,5.74E-06,7.07E-12,0,20,115,-22.72135525
32,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,29885.21369,29892.09397,970418,977298,16:10.2,6.8803,42.7,86.4,5.852,43.945,78.125,,1,737435.2612,737435.2613,6.880298629,42.7,86.4,42.7,86.4,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,32,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737435.2612,10/01/2019 6:16,6.880298629,737435.2613,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-7.113046678,5.50E-06,4.60E-06,2.39E-12,0,20,115,-4.680127916
33,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,30210.94142,30217.37781,1296145,1302582,21:36.9,6.4364,38.2,87,5.236,40.039,75.195,,1,737435.265,737435.2651,6.43639639,38.2,87,38.2,87,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,33,1,237,30210.796,30219.292,20,115,20190110_060000.wav,1296,1,Bm-D,NaN,1,737435.265,8.496,737435.2651,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,314.0961438,737435.265,10/01/2019 6:21,8.49600099,737435.2651,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-9.583995166,5.63E-06,2.12E-05,2.12E-09,1,20,115,-9.40931999
34,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,30228.69698,30233.57976,1313901,1318784,21:53.7,4.8828,34.1,77.5,4.312,35.156,68.359,,1,737435.2652,737435.2653,4.882803932,34.1,77.5,34.1,77.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,34,1,238,30228.796,30235.292,20,115,20190110_060000.wav,1314,1,Bm-D,NaN,1,737435.2652,6.496,737435.2653,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,211.9136906,737435.2652,10/01/2019 6:21,6.49600178,737435.2653,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-12.73704532,5.18E-06,4.52E-06,2.88E-12,1,20,115,-8.14171262
35,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,30457.66774,30462.32858,1542872,1547533,25:42.7,4.6608,45.7,88.2,3.696,46.875,76.172,,1,737435.2679,737435.2679,4.660797492,45.7,88.2,45.7,88.2,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,35,1,245,30456.796,30465.292,20,115,20190110_060000.wav,1542,1,Bm-D,NaN,1,737435.2678,8.496,737435.2679,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,198.0838934,737435.2679,10/01/2019 6:25,8.49600099,737435.268,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-0.149620532,5.84E-06,4.34E-06,1.80E-12,1,20,115,0.933986257
36,Spectrogram 1,1,20190110_060000.wav,20190110_060000.wav,30570.75892,30577.71318,1655963,1662917,27:35.8,6.9543,43.6,84.3,6.16,44.922,76.172,,1,737435.2692,737435.2692,6.954297423,43.6,84.3,43.6,84.3,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,36,1,250,30570.796,30579.292,20,115,20190110_060000.wav,1656,1,Bm-D,NaN,1,737435.2692,8.496,737435.2693,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,283.0399051,737435.2692,10/01/2019 6:27,8.49600099,737435.2693,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-3.475797394,3.29E-06,3.98E-06,8.24E-13,1,20,115,-2.366503181
